airport_group,date,hour,feat_season,feat_sched_flights_cnt,feat_sched_concurrence
E,2025-10-05,8,autumn,0,0
F,2025-10-05,8,autumn,0,0
G,2025-10-05,8,autumn,0,0
A,2025-10-05,9,autumn,1,0
B,2025-10-05,9,autumn,2,1
C,2025-10-05,9,autumn,0,0
D,2025-10-05,9,autumn,0,0
E,2025-10-05,9,autumn,4,1
F,2025-10-05,9,autumn,0,0
G,2025-10-05,9,autumn,0,0
A,2025-10-05,10,autumn,3,0
B,2025-10-05,10,autumn,5,1
C,2025-10-05,10,autumn,0,0
D,2025-10-05,10,autumn,0,0
E,2025-10-05,10,autumn,2,1
F,2025-10-05,10,autumn,3,1
G,2025-10-05,10,autumn,1,0
A,2025-10-05,11,autumn,2,0
B,2025-10-05,11,autumn,3,0
C,2025-10-05,11,autumn,4,1
D,2025-10-05,11,autumn,2,0
E,2025-10-05,11,autumn,4,1
F,2025-10-05,11,autumn,5,0
G,2025-10-05,11,autumn,1,0
A,2025-10-05,12,autumn,1,0
B,2025-10-05,12,autumn,6,1
C,2025-10-05,12,autumn,1,0
D,2025-10-05,12,autumn,2,0
E,2025-10-05,12,autumn,2,1
F,2025-10-05,12,autumn,1,0
G,2025-10-05,12,autumn,4,1
A,2025-10-05,13,autumn,2,0
B,2025-10-05,13,autumn,3,1
C,2025-10-05,13,autumn,2,0
D,2025-10-05,13,autumn,7,1
E,2025-10-05,13,autumn,4,1
F,2025-10-05,13,autumn,0,0
G,2025-10-05,13,autumn,0,0
A,2025-10-05,14,autumn,2,0
B,2025-10-05,14,autumn,4,1
C,2025-10-05,14,autumn,1,0
D,2025-10-05,14,autumn,0,0
E,2025-10-05,14,autumn,4,1
F,2025-10-05,14,autumn,0,0
G,2025-10-05,14,autumn,0,0
A,2025-10-05,15,autumn,2,0
B,2025-10-05,15,autumn,6,1
C,2025-10-05,15,autumn,0,0
D,2025-10-05,15,autumn,3,1
E,2025-10-05,15,autumn,4,1
F,2025-10-05,15,autumn,0,0
G,2025-10-05,15,autumn,0,0
A,2025-10-05,16,autumn,5,1
B,2025-10-05,16,autumn,4,1
C,2025-10-05,16,autumn,2,0
D,2025-10-05,16,autumn,6,1
E,2025-10-05,16,autumn,5,1
F,2025-10-05,16,autumn,1,0
G,2025-10-05,16,autumn,0,0
A,2025-10-05,17,autumn,1,0
B,2025-10-05,17,autumn,2,0
C,2025-10-05,17,autumn,1,0
D,2025-10-05,17,autumn,3,1
E,2025-10-05,17,autumn,2,0
F,2025-10-05,17,autumn,2,0
G,2025-10-05,17,autumn,4,1
A,2025-10-05,18,autumn,3,0
B,2025-10-05,18,autumn,2,0
C,2025-10-05,18,autumn,2,1
D,2025-10-05,18,autumn,6,1
E,2025-10-05,18,autumn,4,1
F,2025-10-05,18,autumn,4,1
G,2025-10-05,18,autumn,3,1
A,2025-10-05,19,autumn,3,0
B,2025-10-05,19,autumn,2,0
C,2025-10-05,19,autumn,3,0
D,2025-10-05,19,autumn,0,0
E,2025-10-05,19,autumn,4,1
F,2025-10-05,19,autumn,0,0
G,2025-10-05,19,autumn,2,0
A,2025-10-05,20,autumn,3,0
B,2025-10-05,20,autumn,1,0
C,2025-10-05,20,autumn,1,0
D,2025-10-05,20,autumn,3,1
E,2025-10-05,20,autumn,0,0
F,2025-10-05,20,autumn,0,0
G,2025-10-05,20,autumn,1,0
A,2025-10-05,21,autumn,1,0
B,2025-10-05,21,autumn,2,1
C,2025-10-05,21,autumn,0,0
D,2025-10-05,21,autumn,4,1
E,2025-10-05,21,autumn,2,1
F,2025-10-05,21,autumn,0,0
G,2025-10-05,21,autumn,4,1
A,2025-10-05,22,autumn,0,0
B,2025-10-05,22,autumn,0,0
C,2025-10-05,22,autumn,0,0
D,2025-10-05,22,autumn,0,0
E,2025-10-05,22,autumn,0,0
F,2025-10-05,22,autumn,0,0
G,2025-10-05,22,autumn,1,0
A,2025-10-05,23,autumn,0,0
B,2025-10-05,23,autumn,0,0
C,2025-10-05,23,autumn,0,0
D,2025-10-05,23,autumn,0,0
E,2025-10-05,23,autumn,0,0
F,2025-10-05,23,autumn,0,0
G,2025-10-05,23,autumn,0,0
A,2025-10-06,0,autumn,0,0
B,2025-10-06,0,autumn,0,0
C,2025-10-06,0,autumn,0,0
D,2025-10-06,0,autumn,0,0
E,2025-10-06,0,autumn,0,0
F,2025-10-06,0,autumn,0,0
G,2025-10-06,0,autumn,0,0
A,2025-10-06,1,autumn,0,0
B,2025-10-06,1,autumn,0,0
C,2025-10-06,1,autumn,0,0
D,2025-10-06,1,autumn,0,0
E,2025-10-06,1,autumn,0,0
F,2025-10-06,1,autumn,0,0
G,2025-10-06,1,autumn,0,0
A,2025-10-06,2,autumn,0,0
B,2025-10-06,2,autumn,0,0
C,2025-10-06,2,autumn,0,0
D,2025-10-06,2,autumn,0,0
E,2025-10-06,2,autumn,0,0
F,2025-10-06,2,autumn,0,0
G,2025-10-06,2,autumn,1,0
A,2025-10-06,3,autumn,2,1
B,2025-10-06,3,autumn,2,1
C,2025-10-06,3,autumn,0,0
D,2025-10-06,3,autumn,0,0
E,2025-10-06,3,autumn,2,1
F,2025-10-06,3,autumn,0,0
G,2025-10-06,3,autumn,4,1
A,2025-10-06,4,autumn,6,1
B,2025-10-06,4,autumn,5,1
C,2025-10-06,4,autumn,5,1
D,2025-10-06,4,autumn,3,1
E,2025-10-06,4,autumn,2,1
F,2025-10-06,4,autumn,0,0
G,2025-10-06,4,autumn,0,0
A,2025-10-06,5,autumn,0,0
B,2025-10-06,5,autumn,0,0
C,2025-10-06,5,autumn,1,0
D,2025-10-06,5,autumn,0,0
E,2025-10-06,5,autumn,4,1
F,2025-10-06,5,autumn,4,1
G,2025-10-06,5,autumn,1,0
A,2025-10-06,6,autumn,3,1
B,2025-10-06,6,autumn,3,1
C,2025-10-06,6,autumn,1,0
D,2025-10-06,6,autumn,4,1
E,2025-10-06,6,autumn,2,0
F,2025-10-06,6,autumn,4,1
G,2025-10-06,6,autumn,6,1
A,2025-10-06,7,autumn,6,1
B,2025-10-06,7,autumn,7,1
C,2025-10-06,7,autumn,2,0
D,2025-10-06,7,autumn,6,1
E,2025-10-06,7,autumn,5,1
F,2025-10-06,7,autumn,2,0
G,2025-10-06,7,autumn,1,0
A,2025-10-06,8,autumn,2,0
B,2025-10-06,8,autumn,3,1
C,2025-10-06,8,autumn,0,0
D,2025-10-06,8,autumn,0,0
E,2025-10-06,8,autumn,0,0
F,2025-10-06,8,autumn,0,0
G,2025-10-06,8,autumn,0,0
A,2025-10-06,9,autumn,1,0
B,2025-10-06,9,autumn,2,1
C,2025-10-06,9,autumn,0,0
D,2025-10-06,9,autumn,4,1
E,2025-10-06,9,autumn,4,1
F,2025-10-06,9,autumn,0,0
G,2025-10-06,9,autumn,1,0
A,2025-10-06,10,autumn,3,0
B,2025-10-06,10,autumn,3,1
C,2025-10-06,10,autumn,0,0
D,2025-10-06,10,autumn,1,0
E,2025-10-06,10,autumn,0,0
F,2025-10-06,10,autumn,3,1
G,2025-10-06,10,autumn,2,0
A,2025-10-06,11,autumn,2,0
B,2025-10-06,11,autumn,0,0
C,2025-10-06,11,autumn,0,0
D,2025-10-06,11,autumn,0,0
E,2025-10-06,11,autumn,0,0
F,2025-10-06,11,autumn,5,0
G,2025-10-06,11,autumn,0,0
A,2025-10-06,12,autumn,1,0
B,2025-10-06,12,autumn,2,0
C,2025-10-06,12,autumn,0,0
D,2025-10-06,12,autumn,2,0
E,2025-10-06,12,autumn,1,0
F,2025-10-06,12,autumn,1,0
G,2025-10-06,12,autumn,4,1
A,2025-10-06,13,autumn,2,0
B,2025-10-06,13,autumn,2,0
C,2025-10-06,13,autumn,2,0
D,2025-10-06,13,autumn,5,1
E,2025-10-06,13,autumn,2,0
F,2025-10-06,13,autumn,0,0
G,2025-10-06,13,autumn,0,0
A,2025-10-06,14,autumn,2,0
B,2025-10-06,14,autumn,4,1
C,2025-10-06,14,autumn,1,0
D,2025-10-06,14,autumn,0,0
E,2025-10-06,14,autumn,4,1
F,2025-10-06,14,autumn,0,0
G,2025-10-06,14,autumn,0,0
A,2025-10-06,15,autumn,2,0
B,2025-10-06,15,autumn,5,1
C,2025-10-06,15,autumn,0,0
D,2025-10-06,15,autumn,3,1
E,2025-10-06,15,autumn,3,1
F,2025-10-06,15,autumn,0,0
G,2025-10-06,15,autumn,0,0
A,2025-10-06,16,autumn,5,1
B,2025-10-06,16,autumn,4,1
C,2025-10-06,16,autumn,2,0
D,2025-10-06,16,autumn,6,1
E,2025-10-06,16,autumn,3,0
F,2025-10-06,16,autumn,1,0
G,2025-10-06,16,autumn,0,0
A,2025-10-06,17,autumn,1,0
B,2025-10-06,17,autumn,2,0
C,2025-10-06,17,autumn,1,0
D,2025-10-06,17,autumn,3,1
E,2025-10-06,17,autumn,2,0
F,2025-10-06,17,autumn,2,0
G,2025-10-06,17,autumn,4,1
A,2025-10-06,18,autumn,3,0
B,2025-10-06,18,autumn,3,1
C,2025-10-06,18,autumn,2,1
D,2025-10-06,18,autumn,6,1
E,2025-10-06,18,autumn,4,1
F,2025-10-06,18,autumn,4,1
G,2025-10-06,18,autumn,3,1
A,2025-10-06,19,autumn,3,0
B,2025-10-06,19,autumn,3,0
C,2025-10-06,19,autumn,3,0
D,2025-10-06,19,autumn,0,0
E,2025-10-06,19,autumn,4,1
F,2025-10-06,19,autumn,0,0
G,2025-10-06,19,autumn,2,0
A,2025-10-06,20,autumn,3,0
B,2025-10-06,20,autumn,1,0
C,2025-10-06,20,autumn,1,0
D,2025-10-06,20,autumn,3,1
E,2025-10-06,20,autumn,0,0
F,2025-10-06,20,autumn,0,0
G,2025-10-06,20,autumn,1,0
A,2025-10-06,21,autumn,1,0
B,2025-10-06,21,autumn,1,0
C,2025-10-06,21,autumn,0,0
D,2025-10-06,21,autumn,2,1
E,2025-10-06,21,autumn,2,1
F,2025-10-06,21,autumn,0,0
G,2025-10-06,21,autumn,4,1
A,2025-10-06,22,autumn,0,0
B,2025-10-06,22,autumn,0,0
C,2025-10-06,22,autumn,0,0
D,2025-10-06,22,autumn,0,0
E,2025-10-06,22,autumn,0,0
F,2025-10-06,22,autumn,0,0
G,2025-10-06,22,autumn,1,0
A,2025-10-06,23,autumn,0,0
B,2025-10-06,23,autumn,0,0
C,2025-10-06,23,autumn,0,0
D,2025-10-06,23,autumn,0,0
E,2025-10-06,23,autumn,0,0
F,2025-10-06,23,autumn,0,0
G,2025-10-06,23,autumn,0,0
A,2025-10-07,0,autumn,0,0
B,2025-10-07,0,autumn,0,0
C,2025-10-07,0,autumn,0,0
D,2025-10-07,0,autumn,0,0
E,2025-10-07,0,autumn,0,0
F,2025-10-07,0,autumn,0,0
G,2025-10-07,0,autumn,0,0
A,2025-10-07,1,autumn,0,0
B,2025-10-07,1,autumn,0,0
C,2025-10-07,1,autumn,0,0
D,2025-10-07,1,autumn,0,0
E,2025-10-07,1,autumn,0,0
F,2025-10-07,1,autumn,0,0
G,2025-10-07,1,autumn,0,0
A,2025-10-07,2,autumn,0,0
B,2025-10-07,2,autumn,0,0
C,2025-10-07,2,autumn,0,0
D,2025-10-07,2,autumn,0,0
E,2025-10-07,2,autumn,0,0
F,2025-10-07,2,autumn,0,0
G,2025-10-07,2,autumn,1,0
A,2025-10-07,3,autumn,2,1
B,2025-10-07,3,autumn,2,1
C,2025-10-07,3,autumn,0,0
D,2025-10-07,3,autumn,0,0
E,2025-10-07,3,autumn,2,1
F,2025-10-07,3,autumn,0,0
G,2025-10-07,3,autumn,4,1
A,2025-10-07,4,autumn,6,1
B,2025-10-07,4,autumn,4,1
C,2025-10-07,4,autumn,5,1
D,2025-10-07,4,autumn,3,1
E,2025-10-07,4,autumn,2,1
F,2025-10-07,4,autumn,0,0
G,2025-10-07,4,autumn,0,0
A,2025-10-07,5,autumn,0,0
B,2025-10-07,5,autumn,0,0
C,2025-10-07,5,autumn,1,0
D,2025-10-07,5,autumn,0,0
E,2025-10-07,5,autumn,4,1
F,2025-10-07,5,autumn,4,1
G,2025-10-07,5,autumn,1,0
A,2025-10-07,6,autumn,3,1
B,2025-10-07,6,autumn,1,0
C,2025-10-07,6,autumn,1,0
D,2025-10-07,6,autumn,4,1
E,2025-10-07,6,autumn,2,0
F,2025-10-07,6,autumn,4,1
G,2025-10-07,6,autumn,6,1
A,2025-10-07,7,autumn,6,1
B,2025-10-07,7,autumn,5,1
C,2025-10-07,7,autumn,2,0
D,2025-10-07,7,autumn,6,1
E,2025-10-07,7,autumn,5,1
F,2025-10-07,7,autumn,2,0
G,2025-10-07,7,autumn,1,0
A,2025-10-07,8,autumn,2,0
B,2025-10-07,8,autumn,3,1
C,2025-10-07,8,autumn,0,0
D,2025-10-07,8,autumn,0,0
E,2025-10-07,8,autumn,0,0
F,2025-10-07,8,autumn,0,0
G,2025-10-07,8,autumn,0,0
A,2025-10-07,9,autumn,1,0
B,2025-10-07,9,autumn,1,0
C,2025-10-07,9,autumn,0,0
D,2025-10-07,9,autumn,4,1
E,2025-10-07,9,autumn,4,1
F,2025-10-07,9,autumn,0,0
G,2025-10-07,9,autumn,1,0
A,2025-10-07,10,autumn,3,0
B,2025-10-07,10,autumn,2,0
C,2025-10-07,10,autumn,0,0
D,2025-10-07,10,autumn,1,0
E,2025-10-07,10,autumn,0,0
F,2025-10-07,10,autumn,3,1
G,2025-10-07,10,autumn,2,0
A,2025-10-07,11,autumn,2,0
B,2025-10-07,11,autumn,0,0
C,2025-10-07,11,autumn,0,0
D,2025-10-07,11,autumn,0,0
E,2025-10-07,11,autumn,0,0
F,2025-10-07,11,autumn,5,0
G,2025-10-07,11,autumn,0,0
A,2025-10-07,12,autumn,1,0
B,2025-10-07,12,autumn,2,0
C,2025-10-07,12,autumn,0,0
D,2025-10-07,12,autumn,2,0
E,2025-10-07,12,autumn,1,0
F,2025-10-07,12,autumn,1,0
G,2025-10-07,12,autumn,4,1
A,2025-10-07,13,autumn,2,0
B,2025-10-07,13,autumn,2,0
C,2025-10-07,13,autumn,2,0
D,2025-10-07,13,autumn,5,1
E,2025-10-07,13,autumn,2,0
F,2025-10-07,13,autumn,0,0
G,2025-10-07,13,autumn,0,0
A,2025-10-07,14,autumn,2,0
B,2025-10-07,14,autumn,4,1
C,2025-10-07,14,autumn,1,0
D,2025-10-07,14,autumn,0,0
E,2025-10-07,14,autumn,4,1
F,2025-10-07,14,autumn,0,0
G,2025-10-07,14,autumn,0,0
A,2025-10-07,15,autumn,2,0
B,2025-10-07,15,autumn,5,1
C,2025-10-07,15,autumn,0,0
D,2025-10-07,15,autumn,3,1
E,2025-10-07,15,autumn,3,1
F,2025-10-07,15,autumn,0,0
G,2025-10-07,15,autumn,0,0
A,2025-10-07,16,autumn,5,1
B,2025-10-07,16,autumn,4,1
C,2025-10-07,16,autumn,2,0
D,2025-10-07,16,autumn,6,1
E,2025-10-07,16,autumn,3,0
F,2025-10-07,16,autumn,1,0
G,2025-10-07,16,autumn,0,0
A,2025-10-07,17,autumn,1,0
B,2025-10-07,17,autumn,2,0
C,2025-10-07,17,autumn,1,0
D,2025-10-07,17,autumn,3,1
E,2025-10-07,17,autumn,2,0
F,2025-10-07,17,autumn,2,0
G,2025-10-07,17,autumn,4,1
A,2025-10-07,18,autumn,3,0
B,2025-10-07,18,autumn,3,1
C,2025-10-07,18,autumn,2,1
D,2025-10-07,18,autumn,6,1
E,2025-10-07,18,autumn,4,1
F,2025-10-07,18,autumn,4,1
G,2025-10-07,18,autumn,3,1
A,2025-10-07,19,autumn,3,0
B,2025-10-07,19,autumn,3,0
C,2025-10-07,19,autumn,3,0
D,2025-10-07,19,autumn,0,0
E,2025-10-07,19,autumn,4,1
F,2025-10-07,19,autumn,0,0
G,2025-10-07,19,autumn,2,0
A,2025-10-07,20,autumn,3,0
B,2025-10-07,20,autumn,1,0
C,2025-10-07,20,autumn,1,0
D,2025-10-07,20,autumn,3,1
E,2025-10-07,20,autumn,0,0
F,2025-10-07,20,autumn,0,0
G,2025-10-07,20,autumn,1,0
A,2025-10-07,21,autumn,1,0
B,2025-10-07,21,autumn,1,0
C,2025-10-07,21,autumn,0,0
D,2025-10-07,21,autumn,2,1
E,2025-10-07,21,autumn,2,1
F,2025-10-07,21,autumn,0,0
G,2025-10-07,21,autumn,4,1
A,2025-10-07,22,autumn,0,0
B,2025-10-07,22,autumn,0,0
C,2025-10-07,22,autumn,0,0
D,2025-10-07,22,autumn,0,0
E,2025-10-07,22,autumn,0,0
F,2025-10-07,22,autumn,0,0
G,2025-10-07,22,autumn,1,0
A,2025-10-07,23,autumn,0,0
B,2025-10-07,23,autumn,0,0
C,2025-10-07,23,autumn,0,0
D,2025-10-07,23,autumn,0,0
E,2025-10-07,23,autumn,0,0
F,2025-10-07,23,autumn,0,0
G,2025-10-07,23,autumn,0,0
A,2025-10-08,0,autumn,0,0
B,2025-10-08,0,autumn,0,0
C,2025-10-08,0,autumn,0,0
D,2025-10-08,0,autumn,0,0
E,2025-10-08,0,autumn,0,0
F,2025-10-08,0,autumn,0,0
G,2025-10-08,0,autumn,0,0
A,2025-10-08,1,autumn,0,0
B,2025-10-08,1,autumn,0,0
C,2025-10-08,1,autumn,0,0
D,2025-10-08,1,autumn,0,0
E,2025-10-08,1,autumn,0,0
F,2025-10-08,1,autumn,0,0
G,2025-10-08,1,autumn,0,0
A,2025-10-08,2,autumn,0,0
B,2025-10-08,2,autumn,0,0
C,2025-10-08,2,autumn,0,0
D,2025-10-08,2,autumn,0,0
E,2025-10-08,2,autumn,0,0
F,2025-10-08,2,autumn,0,0
G,2025-10-08,2,autumn,1,0
A,2025-10-08,3,autumn,2,1
B,2025-10-08,3,autumn,2,1
C,2025-10-08,3,autumn,0,0
D,2025-10-08,3,autumn,0,0
E,2025-10-08,3,autumn,2,1
F,2025-10-08,3,autumn,0,0
G,2025-10-08,3,autumn,4,1
A,2025-10-08,4,autumn,6,1
B,2025-10-08,4,autumn,4,1
C,2025-10-08,4,autumn,5,1
D,2025-10-08,4,autumn,3,1
E,2025-10-08,4,autumn,2,1
F,2025-10-08,4,autumn,0,0
G,2025-10-08,4,autumn,0,0
A,2025-10-08,5,autumn,0,0
B,2025-10-08,5,autumn,0,0
C,2025-10-08,5,autumn,1,0
D,2025-10-08,5,autumn,0,0
E,2025-10-08,5,autumn,4,1
F,2025-10-08,5,autumn,4,1
G,2025-10-08,5,autumn,1,0
A,2025-10-08,6,autumn,3,1
B,2025-10-08,6,autumn,1,0
C,2025-10-08,6,autumn,1,0
D,2025-10-08,6,autumn,4,1
E,2025-10-08,6,autumn,2,0
F,2025-10-08,6,autumn,4,1
G,2025-10-08,6,autumn,6,1
A,2025-10-08,7,autumn,6,1
B,2025-10-08,7,autumn,5,1
C,2025-10-08,7,autumn,2,0
D,2025-10-08,7,autumn,6,1
E,2025-10-08,7,autumn,3,0
F,2025-10-08,7,autumn,2,0
G,2025-10-08,7,autumn,1,0
A,2025-10-08,8,autumn,2,0
B,2025-10-08,8,autumn,3,1
C,2025-10-08,8,autumn,0,0
D,2025-10-08,8,autumn,0,0
E,2025-10-08,8,autumn,0,0
F,2025-10-08,8,autumn,0,0
G,2025-10-08,8,autumn,0,0
A,2025-10-08,9,autumn,1,0
B,2025-10-08,9,autumn,1,0
C,2025-10-08,9,autumn,0,0
D,2025-10-08,9,autumn,4,1
E,2025-10-08,9,autumn,4,1
F,2025-10-08,9,autumn,0,0
G,2025-10-08,9,autumn,1,0
A,2025-10-08,10,autumn,3,0
B,2025-10-08,10,autumn,2,0
C,2025-10-08,10,autumn,0,0
D,2025-10-08,10,autumn,1,0
E,2025-10-08,10,autumn,0,0
F,2025-10-08,10,autumn,3,1
G,2025-10-08,10,autumn,2,0
A,2025-10-08,11,autumn,2,0
B,2025-10-08,11,autumn,0,0
C,2025-10-08,11,autumn,0,0
D,2025-10-08,11,autumn,0,0
E,2025-10-08,11,autumn,0,0
F,2025-10-08,11,autumn,5,0
G,2025-10-08,11,autumn,0,0
A,2025-10-08,12,autumn,1,0
B,2025-10-08,12,autumn,3,1
C,2025-10-08,12,autumn,0,0
D,2025-10-08,12,autumn,2,0
E,2025-10-08,12,autumn,1,0
F,2025-10-08,12,autumn,1,0
G,2025-10-08,12,autumn,4,1
A,2025-10-08,13,autumn,2,0
B,2025-10-08,13,autumn,4,1
C,2025-10-08,13,autumn,2,0
D,2025-10-08,13,autumn,5,1
E,2025-10-08,13,autumn,2,0
F,2025-10-08,13,autumn,0,0
G,2025-10-08,13,autumn,0,0
A,2025-10-08,14,autumn,2,0
B,2025-10-08,14,autumn,4,1
C,2025-10-08,14,autumn,1,0
D,2025-10-08,14,autumn,0,0
E,2025-10-08,14,autumn,4,1
F,2025-10-08,14,autumn,0,0
G,2025-10-08,14,autumn,0,0
A,2025-10-08,15,autumn,2,0
B,2025-10-08,15,autumn,5,1
C,2025-10-08,15,autumn,0,0
D,2025-10-08,15,autumn,3,1
E,2025-10-08,15,autumn,3,1
F,2025-10-08,15,autumn,0,0
G,2025-10-08,15,autumn,0,0
A,2025-10-08,16,autumn,5,1
B,2025-10-08,16,autumn,4,1
C,2025-10-08,16,autumn,2,0
D,2025-10-08,16,autumn,6,1
E,2025-10-08,16,autumn,3,0
F,2025-10-08,16,autumn,1,0
G,2025-10-08,16,autumn,0,0
A,2025-10-08,17,autumn,1,0
B,2025-10-08,17,autumn,2,0
C,2025-10-08,17,autumn,1,0
D,2025-10-08,17,autumn,3,1
E,2025-10-08,17,autumn,2,0
F,2025-10-08,17,autumn,2,0
G,2025-10-08,17,autumn,4,1
A,2025-10-08,18,autumn,3,0
B,2025-10-08,18,autumn,3,1
C,2025-10-08,18,autumn,2,1
D,2025-10-08,18,autumn,6,1
E,2025-10-08,18,autumn,4,1
F,2025-10-08,18,autumn,4,1
G,2025-10-08,18,autumn,3,1
A,2025-10-08,19,autumn,3,0
B,2025-10-08,19,autumn,3,0
C,2025-10-08,19,autumn,3,0
D,2025-10-08,19,autumn,0,0
E,2025-10-08,19,autumn,4,1
F,2025-10-08,19,autumn,0,0
G,2025-10-08,19,autumn,2,0
A,2025-10-08,20,autumn,3,0
B,2025-10-08,20,autumn,1,0
C,2025-10-08,20,autumn,1,0
D,2025-10-08,20,autumn,3,1
E,2025-10-08,20,autumn,0,0
F,2025-10-08,20,autumn,0,0
G,2025-10-08,20,autumn,1,0
A,2025-10-08,21,autumn,1,0
B,2025-10-08,21,autumn,1,0
C,2025-10-08,21,autumn,0,0
D,2025-10-08,21,autumn,2,1
E,2025-10-08,21,autumn,2,1
F,2025-10-08,21,autumn,0,0
G,2025-10-08,21,autumn,4,1
A,2025-10-08,22,autumn,0,0
B,2025-10-08,22,autumn,0,0
C,2025-10-08,22,autumn,0,0
D,2025-10-08,22,autumn,0,0
E,2025-10-08,22,autumn,0,0
F,2025-10-08,22,autumn,0,0
G,2025-10-08,22,autumn,1,0
A,2025-10-08,23,autumn,0,0
B,2025-10-08,23,autumn,0,0
C,2025-10-08,23,autumn,0,0
D,2025-10-08,23,autumn,0,0
E,2025-10-08,23,autumn,0,0
F,2025-10-08,23,autumn,0,0
G,2025-10-08,23,autumn,0,0
A,2025-10-09,0,autumn,0,0
B,2025-10-09,0,autumn,0,0
C,2025-10-09,0,autumn,0,0
D,2025-10-09,0,autumn,0,0
E,2025-10-09,0,autumn,0,0
F,2025-10-09,0,autumn,0,0
G,2025-10-09,0,autumn,0,0
A,2025-10-09,1,autumn,0,0
B,2025-10-09,1,autumn,0,0
C,2025-10-09,1,autumn,0,0
D,2025-10-09,1,autumn,0,0
E,2025-10-09,1,autumn,0,0
F,2025-10-09,1,autumn,0,0
G,2025-10-09,1,autumn,0,0
A,2025-10-09,2,autumn,0,0
B,2025-10-09,2,autumn,0,0
C,2025-10-09,2,autumn,0,0
D,2025-10-09,2,autumn,0,0
E,2025-10-09,2,autumn,0,0
F,2025-10-09,2,autumn,0,0
G,2025-10-09,2,autumn,1,0
A,2025-10-09,3,autumn,2,1
B,2025-10-09,3,autumn,2,1
C,2025-10-09,3,autumn,0,0
D,2025-10-09,3,autumn,0,0
E,2025-10-09,3,autumn,0,0
F,2025-10-09,3,autumn,0,0
G,2025-10-09,3,autumn,4,1
A,2025-10-09,4,autumn,6,1
B,2025-10-09,4,autumn,3,1
C,2025-10-09,4,autumn,5,1
D,2025-10-09,4,autumn,3,1
E,2025-10-09,4,autumn,2,1
F,2025-10-09,4,autumn,0,0
G,2025-10-09,4,autumn,0,0
A,2025-10-09,5,autumn,0,0
B,2025-10-09,5,autumn,0,0
C,2025-10-09,5,autumn,1,0
D,2025-10-09,5,autumn,0,0
E,2025-10-09,5,autumn,4,1
F,2025-10-09,5,autumn,4,1
G,2025-10-09,5,autumn,1,0
A,2025-10-09,6,autumn,3,1
B,2025-10-09,6,autumn,2,1
C,2025-10-09,6,autumn,1,0
D,2025-10-09,6,autumn,4,1
E,2025-10-09,6,autumn,2,0
F,2025-10-09,6,autumn,4,1
G,2025-10-09,6,autumn,6,1
A,2025-10-09,7,autumn,6,1
B,2025-10-09,7,autumn,6,1
C,2025-10-09,7,autumn,2,0
D,2025-10-09,7,autumn,6,1
E,2025-10-09,7,autumn,3,0
F,2025-10-09,7,autumn,2,0
G,2025-10-09,7,autumn,1,0
A,2025-10-09,8,autumn,2,0
B,2025-10-09,8,autumn,3,1
C,2025-10-09,8,autumn,0,0
D,2025-10-09,8,autumn,0,0
E,2025-10-09,8,autumn,0,0
F,2025-10-09,8,autumn,0,0
G,2025-10-09,8,autumn,0,0
A,2025-10-09,9,autumn,1,0
B,2025-10-09,9,autumn,1,0
C,2025-10-09,9,autumn,0,0
D,2025-10-09,9,autumn,4,1
E,2025-10-09,9,autumn,4,1
F,2025-10-09,9,autumn,0,0
G,2025-10-09,9,autumn,1,0
A,2025-10-09,10,autumn,3,0
B,2025-10-09,10,autumn,2,0
C,2025-10-09,10,autumn,0,0
D,2025-10-09,10,autumn,1,0
E,2025-10-09,10,autumn,0,0
F,2025-10-09,10,autumn,3,1
G,2025-10-09,10,autumn,2,0
A,2025-10-09,11,autumn,2,0
B,2025-10-09,11,autumn,0,0
C,2025-10-09,11,autumn,0,0
D,2025-10-09,11,autumn,0,0
E,2025-10-09,11,autumn,0,0
F,2025-10-09,11,autumn,5,0
G,2025-10-09,11,autumn,0,0
A,2025-10-09,12,autumn,1,0
B,2025-10-09,12,autumn,3,1
C,2025-10-09,12,autumn,0,0
D,2025-10-09,12,autumn,2,0
E,2025-10-09,12,autumn,1,0
F,2025-10-09,12,autumn,1,0
G,2025-10-09,12,autumn,4,1
A,2025-10-09,13,autumn,2,0
B,2025-10-09,13,autumn,4,1
C,2025-10-09,13,autumn,2,0
D,2025-10-09,13,autumn,5,1
E,2025-10-09,13,autumn,2,0
F,2025-10-09,13,autumn,0,0
G,2025-10-09,13,autumn,0,0
A,2025-10-09,14,autumn,2,0
B,2025-10-09,14,autumn,4,1
C,2025-10-09,14,autumn,1,0
D,2025-10-09,14,autumn,0,0
E,2025-10-09,14,autumn,4,1
F,2025-10-09,14,autumn,0,0
G,2025-10-09,14,autumn,0,0
A,2025-10-09,15,autumn,2,0
B,2025-10-09,15,autumn,5,1
C,2025-10-09,15,autumn,0,0
D,2025-10-09,15,autumn,3,1
E,2025-10-09,15,autumn,3,1
F,2025-10-09,15,autumn,0,0
G,2025-10-09,15,autumn,0,0
A,2025-10-09,16,autumn,5,1
B,2025-10-09,16,autumn,4,1
C,2025-10-09,16,autumn,2,0
D,2025-10-09,16,autumn,6,1
E,2025-10-09,16,autumn,3,0
F,2025-10-09,16,autumn,1,0
G,2025-10-09,16,autumn,0,0
A,2025-10-09,17,autumn,1,0
B,2025-10-09,17,autumn,2,0
C,2025-10-09,17,autumn,1,0
